No.,级别,语法项目,类别,细目,语法内容
399,六级,句子的类型,特殊句型,被动句,"“把”字句4：表致使 
（1）主语（非生物体）+把+宾语+动词+其他成分 
（2）主语+把+宾语（施事）+动词+其他成分"
400,六级,句子的类型,复句,并列复句,被动句4：主语+被/叫/让+宾语+给+动词+其他成分
401,六级,句子的类型,复句,并列复句,时而……，时而……
402,六级,句子的类型,复句,承接复句,一时……一时……
403,六级,句子的类型,复句,递进复句,……便……
404,六级,句子的类型,复句,递进复句,不但不/不但没有……，反而……
405,六级,句子的类型,复句,递进复句,不是……，还/还是……
406,六级,句子的类型,复句,选择复句,连……都/也……，……更……
407,六级,句子的类型,复句,转折复句,要么……，要么……
408,六级,句子的类型,复句,假设复句,虽……，但/可/却/也……
409,六级,句子的类型,复句,条件复句,……，要不然/不然……
410,六级,句子的类型,复句,让步复句,凡是……，都……
411,六级,句子的类型,复句,紧缩复句,就算/就是……也……
412,六级,句子的类型,复句,多重复句,不……不……
413,六级,强调的方法,用“非……不可”表示强调,,二重复句2：复句+复句
414,六级,口语格式,X到Y头上来了,,
415,六级,口语格式,X就X吧,,
416,六级,口语格式,X是X,,
417,六级,口语格式,不X不……，一X……,,
418,六级,口语格式,好你个X,,
419,六级,口语格式,动词+什么（就）是什么,,
420,六级,口语格式,早（也）不X，晚（也）不X,,
421,六级,口语格式,看/瞧+把+宾语（施事）+ X 得,,
422,六级,口语格式,放着X不Y,,
423,六级,口语格式,X来X去，都是/就是 ……,,
424,六级,口语格式,X了就X了，（没）有……,,
425,六级,口语格式,这/那也不X，那/这也不Y,,
426,高等,词类,动词,能愿动词,需
427,高等,词类,代词,疑问代词,何
428,高等,词类,代词,指示代词,该、另、兹
429,高等,词类,量词,名量词,（1）栋、粒、枚、则、盏（2）复合量词：人次
430,高等,词类,副词,关联副词,亦
431,高等,词类,介词,引出方向、路径,顺着
432,高等,词类,连词,连接词或词组,及
433,高等,词类,连词,连接分句或句子,继而、要不是
434,高等,词类,助词,结构助词,之
435,高等,短语,结构类型,基本结构类型,数词+量词+抽象事物
436,高等,短语,固定短语,四字格,爱A不A
437,高等,短语,固定短语,四字格,半A半B
438,高等,短语,固定短语,四字格,东A西B
439,高等,短语,固定短语,四字格,非A非B
440,高等,短语,固定短语,四字格,忽A忽B
441,高等,短语,固定短语,四字格,连A带B
442,高等,短语,固定短语,四字格,时A时B
443,高等,短语,固定短语,四字格,自A自B
444,高等,短语,固定短语,其他,巴不得
445,高等,短语,固定短语,其他,别提了
446,高等,短语,固定短语,其他,除此之外
447,高等,短语,固定短语,其他,归根到底
448,高等,短语,固定短语,其他,可不是
449,高等,短语,固定短语,其他,没说的
